id,genre,song_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
4dzOxPZFYX77xpMwv4EhnO,Emo,Fat Lip,0.405,0.91,9,-5.234,1,0.128,0.000499,0,0.0739,0.641,196.444,178267
2G8IHtLBcgu2GXTwq0iB4Y,Emo,"You're Gonna Go Far, Kid",0.55,0.913,9,-3.104,0,0.0661,0.00564,0,0.2,0.581,126.106,177827
4yZexjpbKCRfK4jcXSUZfp,Emo,Still Waiting,0.434,0.939,7,-5.698,1,0.246,0.00102,0.000214,0.279,0.539,191.981,158733
6BLLQndvA0rLbLcIZmuuEJ,Emo,I Don't Wanna Be In Love (Dance Floor Anthem),0.64,0.884,6,-2.609,1,0.0428,0.0226,0,0.187,0.573,124.968,244000
1wYJnu1hMrYMNrkXKTVrYd,Emo,Gives You Hell,0.718,0.691,4,-6.44,1,0.0387,0.0159,0,0.0627,0.552,200.016,213107
1bhjMY5O0ZjB41OHcdRH0a,Emo,High School Never Ends - Main Version - Explicit,0.536,0.923,2,-3.494,1,0.125,0.0122,0,0.142,0.77,160.03,209040
3n3Ppam7vgaVa1iaRUc9Lp,Emo,Mr. Brightside,0.355,0.918,1,-4.36,1,0.0746,0.00119,0,0.0971,0.24,148.114,222200
3oap5wNMWwX1dT3AVKwLzH,Emo,Nine in the Afternoon - Single Mix,0.405,0.689,10,-5.75,1,0.0365,0.0843,0,0.207,0.397,155.189,191560
49xvHf84fABv0CG6sFwOBg,Emo,It Ends Tonight,0.347,0.622,0,-5.314,1,0.0299,0.00188,0,0.15,0.314,175.78,244880
63IIUzd6eJBfCGIcF8MFnJ,Emo,Way Away,0.357,0.959,2,-4.081,0,0.113,6.93E-06,3.91E-05,0.0825,0.364,179.644,202093
3twNvmDtFQtAd5gMKedhLD,Emo,Somebody Told Me,0.502,0.972,10,-3.96,0,0.0793,6.78E-05,0.000702,0.0627,0.729,138.019,197280
1vcxF91pWs9uNwDROuiCPB,Emo,Savior,0.554,0.932,5,-3.424,0,0.0485,0.00154,0.000142,0.425,0.478,112.49,242280
0M955bMOoilikPXwKLYpoi,Emo,I Hate Everything About You,0.498,0.83,6,-5.157,0,0.0421,0.00461,0,0.139,0.453,178.684,231480
74ntRTkfvBFTqC6RMcZnrA,Emo,Lips Of An Angel,0.476,0.731,2,-5.365,1,0.0345,0.0238,1.02E-06,0.235,0.243,129.025,262067
4k67Lnw54kvIPvHjMbfziv,Emo,Chameleon Boy,0.582,0.558,7,-7.262,1,0.0273,0.0735,0.00053,0.0835,0.35,104.975,348893
